Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
563 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
564 EAST 4 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
564 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Site downloaded for cleaning
564 WEST 170 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
564 WEST 189 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
565 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched. No graffiti on property.
565 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
565 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Open,Site downloaded for cleaning
565 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Graffiti is intentional.
565 ST LAWRENCE AVENUE,BRONX,09 BRONX,Precinct 43,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
565 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
565 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
565 WEST 170 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
565 WEST 174 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Open,Site to be cleaned.
565 WEST 188 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
566 GREENE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
566 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
566 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
566 SENECA AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
567 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,Closed,Cleaning crew dispatched. No graffiti on property.
567 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
567 WEST 125 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
567 WEST 149 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
567 WEST 149 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
567 WEST 186 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
567 WEST 186 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
5675 BROADWAY,BRONX,08 BRONX,Precinct 50,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
568 WEST 184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
568 WEST 185 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
568 WEST 192 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
569 2 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,Closed,Cleaning crew dispatched. No graffiti on property.
569 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
569 WEST 159 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
569 WEST 171 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
57 1 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
57 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
57 AVENUE D,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
57 AVENUE D,MANHATTAN,03 MANHATTAN,Precinct 9,Open,Site downloaded for cleaning
57 CROSBY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Open,Unspecified
57 DIVISION STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
57 ESSEX STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
57 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
57 SOUTH 4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
57 SOUTH 6 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
57 WADSWORTH AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
57 WEST 76 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
57-03 84 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-04 108 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
57-05 136 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
57-06 69 LANE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
57-09 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
57-15 PENROD STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-16 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-22 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-23 PENROD STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-24 PENROD STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
57-25 61 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
57-31 108 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
57-41 GRANGER STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
57-41 GRANGER STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
57-46 56TH ST,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
57-50 59 DRIVE,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
57-70 MAZEAU STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
570 EAST FORDHAM ROAD,BRONX,06 BRONX,Precinct 48,Closed,Cleaning crew dispatched.  Property cleaned.
570 FLUSHING AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Unspecified
570 MELROSE AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
570 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
570 RIDGEWOOD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
570 RIVERSIDE DRIVE,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Unspecified
570 WEST 172 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
570 WEST 189 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
570 WEST 189 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Site downloaded for cleaning
570 WEST 193 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
570 WEST 193 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
570 WEST 204 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
570 WILLOUGHBY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Site downloaded for cleaning
5702 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5702 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Site downloaded for cleaning
5702 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
5709 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Unspecified
571 11 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
571 EAST 170 STREET,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
571 EAST 179 STREET,BRONX,06 BRONX,Precinct 48,Closed,Cleaning crew dispatched.  Property cleaned.
571 PROSPECT AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
571 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
571 WEST 139 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
571 WEST 183 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
5711 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
5713 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
572 56 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
572 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
572 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,Closed,Cleaning crew dispatched.  Property cleaned.
572 WEST 161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
572 WEST 173 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
5721 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Site downloaded for cleaning
573 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
573 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
573 WEST 183 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
573 WEST SIDE HIGHWAY,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Site downloaded for cleaning
574 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched.  Property cleaned.
574 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Open,Site downloaded for cleaning
574 MORRIS PARK AVENUE,BRONX,Unspecified BRONX,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
574 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Site downloaded for cleaning
574A MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
575 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
575 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Open,Site downloaded for cleaning
575 NOSTRAND AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site to be cleaned.
575 WEST 155 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
575 WEST END AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
576 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
576 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Site downloaded for cleaning
576 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
576 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site downloaded for cleaning
576 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
576 WEST 183 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
577 ISHAM STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
578 LIVONIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
579 CLASSON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
579 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
579 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
579 WEST 161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
58 ALBANY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
58 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
58 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
58 EAST 118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched. No graffiti on property.
58 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
58 KENMARE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Open,Unspecified
58 MULBERRY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
58 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
58 WEST 129 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched. No graffiti on property.
58 WESTCHESTER SQUARE,BRONX,10 BRONX,Precinct 45,Open,Site downloaded for cleaning
58-01 58 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-02 NORTHERN BOULEVARD,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
58-08 57 ROAD,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-08 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
58-16 57 ROAD,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-17 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
58-17 PENROD STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
58-20 58 PLACE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
58-20 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
58-45 GRAND AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
58-58 MAURICE AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Site downloaded for cleaning
58-58 MAURICE AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Site downloaded for cleaning
58-64 43 AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
58-77 57 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-85 57 DRIVE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-85 58 AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
58-88 56 STREET,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
58-99 55 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
580 73 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
580 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
5802 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5803 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5804 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5804 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
581 BRUCKNER BOULEVARD,BRONX,02 BRONX,Precinct 41,Open,Unspecified
581 EAST 164 STREET,BRONX,03 BRONX,Precinct 42,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
581 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
581 MAC DONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
581 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
581 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
581 TIMPSON PLACE,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
5812 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5813 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
5814 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Owner refused.
582 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
582 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
582 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Site downloaded for cleaning
582 WEST 153 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Unspecified
582 WEST 153 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Open,Unspecified
582 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
5822 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5824 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Owner refused.
583 BALTIC STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
584 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
585 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
585 EAST 168 STREET,BRONX,03 BRONX,Precinct 42,Pending,Cleaning crew dispatched.  Property cleaned.
585 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Unspecified
585 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
586 EAST 161 STREET,BRONX,01 BRONX,Precinct 40,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
586 WEST 177 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
587 6 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 13,Open,Site downloaded for cleaning
587 HENDRIX STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
587 PROSPECT AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
587 RIVERSIDE DRIVE,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
587 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
589 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
589 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
589 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Site downloaded for cleaning
589 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
59 ADAMS STREET,BROOKLYN,02 BROOKLYN,Precinct 84,Closed,Cleaning crew dispatched. No graffiti on property.
59 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
59 EAST 126 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched. No graffiti on property.
59 EAST 126 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
59 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Graffiti is intentional.
59 JANE STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Closed,Cleaning crew dispatched.  Property cleaned.
59 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
59 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched. No graffiti on property.
59 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
59 SUTTER AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
59 WEST 31 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched. No graffiti on property.
59 WEST 31 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched. No graffiti on property.
59-10 56 STREET,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
59-10 DECATUR STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-19 37 AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
59-19 37 AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
59-19 37 AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
59-25 GRAND AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-26 55 DRIVE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-26 55 DRIVE,QUEENS,05 QUEENS,Precinct 104,Open,Site downloaded for cleaning
59-39 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
59-47 FRESH MEADOW LANE,QUEENS,11 QUEENS,Precinct 111,Open,Site downloaded for cleaning
59-52 160 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
59-52 55 DRIVE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-52 55 DRIVE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-54 WOODBINE STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
59-55 PARSONS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
